m	n	S12
85	11	0.000534
86	11	0.001569
87	11	0.002412
88	11	0.001373
89	11	0.000713
90	11	0.002218
91	11	0.001987
92	11	0.000211
93	11	0.001736
94	11	0.002349
95	11	0.001130
96	11	0.001043
97	11	0.002571
98	11	0.002251
99	11	0.001216
0	12	0.036722
1	12	0.079473
2	12	0.029972
3	12	0.019382
4	12	0.050403
5	12	0.044788
6	12	0.006237
7	12	0.038978
8	12	0.057879
9	12	0.033235
10	12	0.022423
11	12	0.071345
12	12	0.072666
13	12	0.009437
14	12	0.095575
15	12	0.183424
16	12	0.162931
17	12	0.827354
18	12	0.434194
19	12	0.157991
20	12	0.001987
21	12	0.069905
22	12	0.067474
23	12	0.023133
24	12	0.021960
25	12	0.039459
26	12	0.025665
27	12	0.002539
28	12	0.022892
29	12	0.023120
30	12	0.006961
31	12	0.011335
32	12	0.018516
33	12	0.011260
34	12	0.003069
35	12	0.013170
36	12	0.012331
37	12	0.002585
38	12	0.007869
39	12	0.011315
40	12	0.006032
41	12	0.003137
42	12	0.009027
43	12	0.007625
44	12	0.000689
45	12	0.006109
46	12	0.007729
47	12	0.003430
48	12	0.003070
49	12	0.006728
50	12	0.005041
51	12	0.000303
52	12	0.005011
53	12	0.005595
54	12	0.001917
55	12	0.002951
56	12	0.005254
57	12	0.003429
58	12	0.000874
59	12	0.004242
60	12	0.004183
61	12	0.000953
62	12	0.002812
63	12	0.004221
64	12	0.002340
65	12	0.001221
66	12	0.003661
67	12	0.003182
68	12	0.000300
69	12	0.002669
70	12	0.003455
71	12	0.001563
72	12	0.001438
73	12	0.003204
74	12	0.002440
75	12	0.000162
76	12	0.002534
77	12	0.002868
78	12	0.000988
79	12	0.001582
80	12	0.002844
81	12	0.001876
82	12	0.000504
83	12	0.002423
84	12	0.002419
85	12	0.000550
86	12	0.001696
87	12	0.002581
88	12	0.001452
89	12	0.000780
90	12	0.002378
91	12	0.002114
92	12	0.000208
93	12	0.001864
94	12	0.002504
95	12	0.001192
96	12	0.001124
97	12	0.002741
98	12	0.002390
99	12	0.001296
0	13	0.035040
1	13	0.075149
2	13	0.027796
3	13	0.018644
4	13	0.047092
5	13	0.041070
6	13	0.005082
7	13	0.035841
8	13	0.051772
9	13	0.028651
10	13	0.020197
11	13	0.060442
12	13	0.058584
13	13	0.006108
14	13	0.069603
15	13	0.115163
16	13	0.074786
17	13	0.099437
18	13	0.629550
19	13	0.725009
20	13	0.000182
21	13	0.116850
22	13	0.098995
23	13	0.030740
24	13	0.029668
25	13	0.050298
26	13	0.031405
27	13	0.003644
28	13	0.027710
29	13	0.027235
30	13	0.007796
31	13	0.013453
32	13	0.021370
33	13	0.012688
34	13	0.003749
35	13	0.015033
36	13	0.013820
37	13	0.002708
38	13	0.008956
39	13	0.012623
40	13	0.006580
41	13	0.003628
42	13	0.010046
43	13	0.008353
44	13	0.000633
45	13	0.006804
46	13	0.008472
47	13	0.003667
48	13	0.003454
49	13	0.007379
50	13	0.005446
51	13	0.000417
52	13	0.005507
53	13	0.006065
54	13	0.002013
55	13	0.003265
56	13	0.005706
57	13	0.003668
58	13	0.001009
59	13	0.004617
60	13	0.004498
61	13	0.000975
62	13	0.003076
63	13	0.004552
64	13	0.002482
65	13	0.001360
66	13	0.003957
67	13	0.003401
68	13	0.000280
69	13	0.002896
70	13	0.003705
71	13	0.001644
72	13	0.001576
73	13	0.003445
74	13	0.002594
75	13	0.000206
76	13	0.002732
77	13	0.003061
78	13	0.001029
79	13	0.001716
80	13	0.003043
81	13	0.001986
82	13	0.000563
83	13	0.002598
84	13	0.002572
85	13	0.000564
86	13	0.001826
87	13	0.002751
88	13	0.001531
89	13	0.000850
90	13	0.002538
91	13	0.002241
92	13	0.000204
93	13	0.001994
94	13	0.002659
95	13	0.001254
96	13	0.001206
97	13	0.002912
98	13	0.002527
99	13	0.001376
0	14	0.033547
1	14	0.071376
2	14	0.025943
3	14	0.017982
4	14	0.044290
5	14	0.037998
6	14	0.004170
7	14	0.033315
8	14	0.047018
9	14	0.025207
10	14	0.018556
11	14	0.052857
12	14	0.049384
13	14	0.004120
14	14	0.055748
15	14	0.085298
16	14	0.048772
17	14	0.056308
18	14	0.193116
19	14	0.301380
20	14	0.844700
21	14	0.296821
22	14	0.174864
23	14	0.045416
24	14	0.042766
25	14	0.067144
26	14	0.039763
27	14	0.005200
28	14	0.034169
29	14	0.032575
30	14	0.008839
31	14	0.016091
32	14	0.024847
33	14	0.014391
34	14	0.004566
35	14	0.017217
36	14	0.015538
37	14	0.002838
38	14	0.010198
39	14	0.014097
40	14	0.007187
41	14	0.004183
42	14	0.011176
43	14	0.009150
44	14	0.000565
45	14	0.007567
46	14	0.009277
47	14	0.003917
48	14	0.003873
49	14	0.008078
50	14	0.005876
51	14	0.000545
52	14	0.006037
53	14	0.006561
54	14	0.002109
55	14	0.003600
56	14	0.006182
57	14	0.003916
58	14	0.001154
59	14	0.005012
60	14	0.004825
61	14	0.000994
62	14	0.003354
63	14	0.004895
64	14	0.002627
65	14	0.001508
66	14	0.004264
67	14	0.003624
68	14	0.000257
69	14	0.003132
70	14	0.003961
71	14	0.001726
72	14	0.001720
73	14	0.003691
74	14	0.002750
75	14	0.000254
76	14	0.002935
77	14	0.003257
78	14	0.001069
79	14	0.001854
80	14	0.003246
81	14	0.002095
82	14	0.000626
83	14	0.002778
84	14	0.002726
85	14	0.000577
86	14	0.001959
87	14	0.002922
88	14	0.001609
89	14	0.000922
90	14	0.002701
91	14	0.002367
92	14	0.000199
93	14	0.002125
94	14	0.002814
95	14	0.001314
96	14	0.001290
97	14	0.003082
98	14	0.002662
99	14	0.001456
0	15	0.032211
1	15	0.068049
2	15	0.024346
3	15	0.017384
4	15	0.041880
5	15	0.035412
6	15	0.003433
7	15	0.031228
8	15	0.043199
9	15	0.022520
10	15	0.017285
11	15	0.047250
12	15	0.042877
13	15	0.002800
14	15	0.047091
15	15	0.068471
16	15	0.036269
17	15	0.040708
18	15	0.117387
19	15	0.128075
20	15	0.007444
21	15	0.733081
22	15	0.619795
23	15	0.086184
24	15	0.070123
25	15	0.097130
26	15	0.053178
27	15	0.007545
28	15	0.043337
29	15	0.039833
30	15	0.010198
31	15	0.019481
32	15	0.029203
33	15	0.016475
34	15	0.005564
35	15	0.019825
36	15	0.017555
37	15	0.002981
38	15	0.011637
39	15	0.015781
40	15	0.007867
41	15	0.004814
42	15	0.012441
43	15	0.010031
44	15	0.000483
45	15	0.008409
46	15	0.010156
47	15	0.004184
48	15	0.004333
49	15	0.008834
50	15	0.006336
51	15	0.000687
52	15	0.006607
