"Freq [GHz]","dB(S(2,1)) []"
32.95,-67.7297044998471
32.96,-67.8418913973059
32.97,-67.9533142861559
32.98,-68.0639785482555
32.99,-68.1738895011424
33,-68.2830523990537
33.01,-68.3914724339371
33.02,-68.4991547364343
33.03,-68.606104376845
33.04,-68.7123263660848
33.05,-68.8178256565992
33.06,-68.9226071432822
33.07,-69.0266756643663
33.08,-69.1300360022913
33.09,-69.2326928845715
33.1,-69.3346509846221
33.11,-69.4359149225981
33.12,-69.5364892661882
33.13,-69.6363785314157
33.14,-69.7355871834061
33.15,-69.8341196371639
33.16,-69.931980258303
33.17,-70.0291733637958
33.18,-70.1257032226771
33.19,-70.2215740567606
33.2,-70.3167900413306
33.21,-70.4113553058144
33.22,-70.5052739344546
33.23,-70.5985499669678
33.24,-70.6911873991747
33.25,-70.7831901836444
33.26,-70.8745622303044
33.27,-70.9653074070487
33.28,-71.0554295403417
33.29,-71.1449324157965
33.3,-71.2338197787579
33.31,-71.3220953348515
33.32,-71.4097627505635
33.33,-71.496825653763
33.34,-71.5832876342522
33.35,-71.6691522442815
33.36,-71.7544229990747
33.37,-71.8391033773318
33.38,-71.9231968217312
33.39,-72.0067067394145
33.4,-72.0896365024707
33.41,-72.1719894484153
33.42,-72.2537688806482
33.43,-72.3349780689063
33.44,-72.415620249726
33.45,-72.4956986268769
33.46,-72.5752163717945
33.47,-72.6541766240098
33.48,-72.7325824915704
33.49,-72.8104370514517
33.5,-72.8877433499588
33.51,-72.9645044031332
33.52,-73.0407231971369
33.53,-73.1164026886465
33.54,-73.1915458052226
33.55,-73.2661554456942
33.56,-73.3402344805152
33.57,-73.4137857521375
33.58,-73.4868120753529
33.59,-73.5593162376543
33.6,-73.6313009995736
33.61,-73.7027690950176
33.62,-73.7737232316098
33.63,-73.8441660910084
33.64,-73.9141003292394
33.65,-73.9835285770001
33.66,-74.0524534399841
33.67,-74.1208774991844
33.68,-74.1888033111915
33.69,-74.2562334084998
33.7,-74.3231702997918
33.71,-74.3896164702368
33.72,-74.4555743817619
33.73,-74.5210464733486
33.74,-74.5860351612935
33.75,-74.6505428394862
33.76,-74.7145718796798
33.77,-74.7781246317412
33.78,-74.8412034239307
33.79,-74.9038105631389
33.8,-74.9659483351435
33.81,-75.0276190048651
33.82,-75.0888248165977
33.83,-75.1495679942641
33.84,-75.2098507416317
33.85,-75.2696752425708
33.86,-75.3290436612606
33.87,-75.3879581424433
33.88,-75.4464208116145
33.89,-75.5044337752678
33.9,-75.5619991210986
33.91,-75.6191189182315
33.92,-75.6757952174093
33.93,-75.7320300512248
33.94,-75.7878254343011
33.95,-75.843183363514
33.96,-75.8981058181778
33.97,-75.9525947602475
33.98,-76.0066521345089
33.99,-76.0602798687643
34,-76.1134798740356
