"Freq [GHz]","im(S(2,1)) []","re(S(2,1)) []"
31.36,-0.0305710619255327,0.0334675093277137
31.38,-0.0293767224095669,0.0293510778520418
31.4,-0.0281247013050571,0.0257228326638005
31.42,-0.0268457871677344,0.0225239638807953
31.44,-0.0255632220882704,0.0197026900001521
31.46,-0.0242943456613933,0.0172134986717225
31.48,-0.0230518877388757,0.0150164348126367
31.5,-0.021844985540316,0.013076447348499
31.52,-0.020679984253312,0.0113627986063629
31.54,-0.0195610673960048,0.00984853596576123
31.56,-0.0184907531766079,0.00851002280756827
31.58,-0.0174702852528199,0.00732652442893595
31.6,-0.0164999401829803,0.00627984398023212
31.62,-0.0155792690891301,0.00535400333910999
31.64,-0.0147072873220874,0.00453496397842822
31.66,-0.0138826229989523,0.00381038318573978
31.68,-0.0131036329945175,0.00316940137327965
31.7,-0.0123684931706777,0.00260245662880521
31.72,-0.011675268214098,0.00210112306862364
31.74,-0.011021965338431,0.0016579699466532
31.76,-0.010406575228076,0.00126643883762409
31.78,-0.0098271029053641,0.000920736544063048
31.8,-0.00928159065258427,0.00061574167429246
31.82,-0.0087681346837359,0.00034692310315044
31.84,-0.00828489691420706,0.00011026876042217
31.86,-0.00783011290088267,-9.77766033799016E-05
31.88,-0.00740209680569283,-0.000280365845488648
31.9,-0.00699924406068029,-0.000440297069541344
31.92,-0.00662003227311996,-0.000580055355124355
31.94,-0.00626302079782597,-0.00070184934162517
31.96,-0.00592684931480969,-0.000807643328223197
31.98,-0.00561023567936508,-0.000899185463941659
32,-0.00531197325484438,-0.000978032525634191
32.02,-0.00503092789300736,-0.00104557171602579
32.04,-0.00476603469056972,-0.00110303985706426
32.06,-0.00451629462164756,-0.00115154030467019
32.08,-0.00428077112273178,-0.00119205786843982
32.1,-0.00405858668845476,-0.00122547198305139
32.12,-0.00384891952183544,-0.00125256834626606
32.14,-0.00365100027111623,-0.00127404921081554
32.16,-0.00346410887617861,-0.00129054249354984
32.18,-0.00328757154033574,-0.0013026098444758
32.2,-0.00312075783768065,-0.0013107538003119
32.22,-0.00296307796178938,-0.0013154241315462
32.24,-0.00281398011821123,-0.00131702347839597
32.26,-0.00267294806060063,-0.00131591235923876
32.28,-0.00253949876840688,-0.00131241362479422
32.3,-0.00241318026261087,-0.00130681642236352
32.32,-0.00229356955496032,-0.00129937972661181
32.34,-0.00218027072544781,-0.00129033548654906
32.36,-0.0020729131223046,-0.00127989143240333
32.38,-0.00197114967851407,-0.00126823358086157
32.4,-0.00187465533872438,-0.0012555284725906
32.42,-0.00178312559043267,-0.00124192517195487
32.44,-0.00169627509339373,-0.00122755705533984
32.46,-0.00161383640134618,-0.00121254341142029
32.48,-0.00153555877034212,-0.00119699087400804
32.5,-0.001461207048187,-0.00118099470574519
32.52,-0.00139056063974079,-0.00116463994881945
32.54,-0.00132341254308882,-0.00114800245704178
32.56,-0.00125956845185211,-0.00113114982200729
32.58,-0.00119884591917268,-0.00111414220463458
32.6,-0.00114107357916781,-0.00109703308211559
32.62,-0.00108609042190528,-0.00107986991920038
32.64,-0.00103374511819539,-0.00106269477175225
32.66,-0.00098389539073534,-0.00104554482964346
32.68,-0.000936407428367802,-0.00102845290528906
32.7,-0.000891155340431198,-0.00101144787343418
32.72,-0.000848020648384734,-0.000994555067205661
32.74,-0.000806891812083272,-0.000977796634902245
32.76,-0.000767663788259441,-0.000961191861520441
32.78,-0.000730237618942265,-0.000944757458588809
32.8,-0.000694520047698728,-0.000928507825509133
32.82,-0.000660423161737412,-0.000912455285264364
32.84,-0.000627864058051124,-0.000896610297058324
32.86,-0.000596764531906108,-0.000880981648183221
32.88,-0.000567050786107392,-0.000865576627175467
32.9,-0.000538653159581564,-0.00085040118010837
32.92,-0.000511505873925096,-0.000835460051680944
32.94,-0.000485546796661582,-0.000820756912593713
32.96,-0.000460717220043675,-0.000806294474551343
32.98,-0.000436961654319122,-0.000792074594096078
33,-0.000414227634457496,-0.000778098366357474
33.02,-0.000392465539407519,-0.000764366209692145
33.04,-0.000371628423021667,-0.00075087794209347
33.06,-0.000351671855846115,-0.000737632850162731
33.08,-0.000332553777032904,-0.000724629751354654
33.1,-0.000314234355683629,-0.000711867050141829
33.12,-0.000296675860983636,-0.000699342788677917
33.14,-0.000279842540531574,-0.000687054692484191
33.16,-0.000263700506311352,-0.000675000211632141
33.18,-0.000248217627793504,-0.00066317655785043
33.2,-0.000233363431687984,-0.000651580737941931
33.22,-0.000219109007905679,-0.000640209583859872
33.24,-0.000205426921316351,-0.000629059779760104
33.26,-0.000192291128919473,-0.000618127886313529
33.28,-0.000179676902071952,-0.000607410362539116
33.3,-0.000167560753441305,-0.000596903585389819
33.32,-0.000155920368375117,-0.000586603867304901
33.34,-0.000144734540400737,-0.000576507471919791
33.36,-0.000133983110587304,-0.000566610628107542
33.38,-0.000123646910521195,-0.000556909542509831
33.4,-0.000113707708663641,-0.000547400410700127
33.42,-0.000104148159873644,-0.000538079427109349
33.44,-9.49517578962722E-05,-0.000528942793830047
33.46,-8.61027906270013E-05,-0.000519986728407514
33.48,-7.75862979786515E-05,-0.000511207470713301
33.5,-6.9388032186742E-05,-0.000502601288989335
33.52,-6.14944204013208E-05,-0.000494164485142504
33.54,-5.38925294232961E-05,-0.000485893399361515
