"Freq [GHz]","dB(S(1,2)) []"
30.42,-0.0865468719504533
30.43,-0.0933359366682416
30.44,-0.0990435777681763
30.45,-0.103496375377183
30.46,-0.106551500776605
30.47,-0.108101187093338
30.48,-0.108076606060722
30.49,-0.10645107082735
30.5,-0.103242478487136
30.51,-0.098514896574341
30.52,-0.0923791866020224
30.53,-0.084992546761901
30.54,-0.0765568476278039
30.55,-0.067315632076019
30.56,-0.0575496569688465
30.57,-0.0475708728848041
30.58,-0.0377147725388028
30.59,-0.0283310910385244
30.6,-0.0197729130070072
30.61,-0.0123843322048385
30.62,-0.00648691549473969
30.63,-0.00236533892234777
30.64,-0.000252680762832925
30.65,-0.000315963967895831
30.66,-0.00264262711430041
30.67,-0.0072286583203926
30.68,-0.0139691435138824
30.69,-0.0226519571552303
30.7,-0.0329552653753214
30.71,-0.0444494316440385
30.72,-0.0566038341482267
30.73,-0.0687990484727609
30.74,-0.0803448487583144
30.75,-0.0905045654615984
30.76,-0.0985265356638251
30.77,-0.103683714050525
30.78,-0.105322990419585
30.79,-0.102926376515316
30.8,-0.0961869434460257
30.81,-0.0851031158769592
30.82,-0.0700954621071268
30.83,-0.0521500830388425
30.84,-0.0329914339004195
30.85,-0.0152838323004976
30.86,-0.00285344588824735
30.87,-0.000909310198547868
30.88,-0.0162214286456308
30.89,-0.0571871135753153
30.9,-0.133690005085501
30.91,-0.256645685784034
30.92,-0.437158893392575
30.93,-0.685313315474346
30.94,-1.0087704811548
30.95,-1.41150892473239
30.96,-1.89308498736032
30.97,-2.44866860139969
30.98,-3.06984057525683
30.99,-3.74587882045289
31,-4.46514991539925
31.01,-5.21628658281924
31.02,-5.98899046875798
31.03,-6.77445123036908
31.04,-7.56546245651483
31.05,-8.35634100986461
31.06,-9.1427433954633
31.07,-9.92144550566832
31.08,-10.6901256123909
31.09,-11.447170636596
31.1,-12.191513044252
31.11,-12.9224986244059
31.12,-13.6397820091715
31.13,-14.343245576232
31.14,-15.0329373035031
31.15,-15.7090235999229
31.16,-16.3717537710419
31.17,-17.0214334194869
31.18,-17.6584046523313
31.19,-18.2830314453451
31.2,-18.895688898468
31.21,-19.4967554186143
31.22,-20.0866070991666
31.23,-20.6656137439603
31.24,-21.2341361191999
31.25,-21.7925241193951
31.26,-22.3411156109243
31.27,-22.880235775274
31.28,-23.4101968180695
31.29,-23.931297943229
31.3,-24.4438255166184
31.31,-24.9480533625018
31.32,-25.4442431503582
31.33,-25.9326448404306
31.34,-26.4134971645271
31.35,-26.8870281247725
